cntry,essround,hinctnta,gndr,gndr2,agea,eisced,domicil,edulvlb,pdwrk,hhmmb,health,happy,dscrrce,dscrgrp,mnactic
ME,10,4.0,1,2,64.0,3.0,2,321.0,0,3.0,3,10.0,0,7,6.0
ME,10,4.0,1,2,76.0,3.0,4,321.0,0,2.0,3,7.0,0,2,6.0
ME,10,4.0,1,2,79.0,2.0,2,229.0,0,2.0,3,7.0,0,2,6.0
ME,10,6.0,1,1,18.0,3.0,3,321.0,0,3.0,1,10.0,0,2,4.0
ME,10,10.0,2,1,37.0,7.0,3,710.0,1,4.0,2,8.0,0,2,1.0
ME,10,8.0,1,2,58.0,5.0,4,520.0,1,4.0,1,10.0,0,2,1.0
ME,10,1.0,2,1,41.0,1.0,3,0.0,0,2.0,3,3.0,0,2,3.0
ME,10,3.0,2,1,74.0,2.0,3,229.0,0,2.0,3,8.0,0,2,4.0
ME,10,6.0,1,1,35.0,4.0,4,313.0,1,6.0,1,5.0,0,2,1.0
ME,10,8.0,2,1,43.0,7.0,3,710.0,1,6.0,2,8.0,0,2,1.0
ME,10,3.0,1,2,87.0,4.0,2,323.0,0,2.0,3,8.0,0,2,6.0
ME,10,6.0,2,1,19.0,4.0,3,313.0,0,5.0,1,10.0,0,2,4.0
ME,10,6.0,1,6,,3.0,3,321.0,1,1.0,2,8.0,0,2,1.0
ME,10,6.0,1,2,58.0,2.0,1,213.0,1,5.0,3,5.0,0,2,1.0
ME,10,2.0,1,6,63.0,55.0,2,5555.0,0,1.0,2,3.0,0,2,8.0
ME,10,5.0,1,2,60.0,2.0,4,229.0,1,5.0,2,10.0,0,2,1.0
ME,10,1.0,1,2,57.0,2.0,3,213.0,0,2.0,5,10.0,0,1,5.0
ME,10,2.0,2,1,69.0,2.0,4,213.0,0,2.0,3,8.0,0,2,6.0
ME,10,5.0,1,2,71.0,3.0,4,321.0,0,2.0,3,8.0,0,2,6.0
ME,10,4.0,1,2,66.0,55.0,2,5555.0,0,2.0,2,4.0,0,2,9.0
ME,10,6.0,2,1,48.0,2.0,4,213.0,0,5.0,4,6.0,0,2,4.0
ME,10,8.0,2,1,33.0,5.0,4,520.0,1,3.0,2,5.0,0,2,1.0
ME,10,2.0,2,6,67.0,3.0,4,321.0,0,1.0,3,8.0,0,2,6.0
ME,10,6.0,2,1,29.0,7.0,2,710.0,1,4.0,1,9.0,0,2,1.0
ME,10,7.0,1,1,22.0,4.0,3,313.0,0,4.0,1,10.0,0,1,9.0
ME,10,1.0,1,6,60.0,2.0,4,213.0,0,1.0,3,10.0,0,1,9.0
ME,10,5.0,1,2,47.0,4.0,4,323.0,1,6.0,2,5.0,0,2,1.0
ME,10,4.0,1,2,34.0,4.0,4,323.0,0,3.0,2,7.0,0,2,3.0
ME,10,2.0,2,1,67.0,2.0,4,213.0,0,2.0,4,8.0,0,2,4.0
ME,10,3.0,1,2,59.0,3.0,2,321.0,0,2.0,2,6.0,0,2,6.0
ME,10,6.0,2,1,41.0,4.0,2,323.0,0,5.0,2,6.0,0,2,4.0
ME,10,6.0,1,2,41.0,4.0,3,323.0,1,4.0,3,5.0,0,2,1.0
ME,10,5.0,1,2,58.0,4.0,4,323.0,0,4.0,2,8.0,0,2,6.0
ME,10,3.0,2,1,34.0,4.0,4,323.0,1,2.0,2,5.0,0,2,1.0
ME,10,1.0,1,6,51.0,4.0,2,323.0,0,1.0,4,6.0,0,1,5.0
ME,10,7.0,2,1,46.0,5.0,2,510.0,1,4.0,2,7.0,0,2,1.0
ME,10,5.0,2,1,31.0,4.0,3,313.0,0,3.0,2,8.0,0,2,8.0
ME,10,3.0,2,1,29.0,4.0,5,313.0,0,3.0,2,9.0,0,2,4.0
ME,10,2.0,2,1,30.0,4.0,3,323.0,0,3.0,1,8.0,0,2,3.0
ME,10,3.0,2,1,23.0,7.0,4,710.0,1,2.0,1,9.0,0,2,1.0
ME,10,3.0,2,1,58.0,4.0,2,323.0,0,2.0,2,7.0,0,2,9.0
ME,10,4.0,1,6,46.0,3.0,2,321.0,1,1.0,2,7.0,0,2,1.0
ME,10,3.0,2,6,67.0,4.0,4,323.0,0,1.0,2,6.0,0,1,6.0
ME,10,2.0,2,1,65.0,2.0,2,229.0,0,2.0,3,7.0,0,2,4.0
ME,10,3.0,2,1,54.0,2.0,4,213.0,0,3.0,2,8.0,0,2,8.0
ME,10,10.0,1,2,57.0,5.0,3,520.0,1,3.0,1,9.0,0,2,1.0
ME,10,7.0,1,1,45.0,4.0,4,323.0,1,4.0,1,9.0,0,1,1.0
ME,10,3.0,2,1,40.0,3.0,4,321.0,0,3.0,2,10.0,0,2,4.0
ME,10,1.0,1,2,59.0,3.0,4,321.0,0,2.0,4,8.0,0,2,6.0
ME,10,2.0,2,1,27.0,3.0,2,321.0,0,4.0,2,7.0,0,2,4.0
ME,10,2.0,2,1,58.0,2.0,4,213.0,0,2.0,4,10.0,0,2,8.0
ME,10,7.0,2,2,24.0,6.0,2,610.0,0,7.0,3,10.0,0,2,8.0
ME,10,4.0,1,2,38.0,4.0,2,323.0,1,5.0,1,7.0,0,2,1.0
ME,10,4.0,2,1,49.0,3.0,4,321.0,0,5.0,2,7.0,0,2,4.0
ME,10,1.0,2,6,84.0,1.0,4,113.0,0,1.0,5,8.0,0,2,6.0
ME,10,2.0,1,6,63.0,4.0,2,323.0,0,1.0,3,6.0,0,2,5.0
ME,10,9.0,2,1,20.0,55.0,2,5555.0,0,5.0,1,10.0,0,2,9.0
ME,10,8.0,2,1,19.0,4.0,1,313.0,0,4.0,2,7.0,0,2,2.0
ME,10,6.0,2,1,28.0,4.0,3,323.0,1,3.0,2,9.0,0,2,1.0
ME,10,10.0,1,1,31.0,4.0,3,313.0,1,6.0,1,10.0,0,2,1.0
ME,10,3.0,1,1,24.0,4.0,2,323.0,0,4.0,2,7.0,0,2,3.0
ME,10,10.0,1,1,26.0,4.0,4,313.0,1,5.0,1,9.0,0,1,1.0
ME,10,4.0,2,1,57.0,4.0,3,313.0,1,2.0,1,10.0,0,2,1.0
ME,10,2.0,1,2,73.0,2.0,4,213.0,0,2.0,3,8.0,0,2,4.0
ME,10,2.0,1,2,64.0,3.0,4,321.0,0,3.0,2,7.0,0,2,6.0
ME,10,3.0,2,1,70.0,3.0,2,321.0,0,3.0,2,6.0,0,2,4.0
ME,10,2.0,1,2,59.0,2.0,5,213.0,0,2.0,3,5.0,0,2,6.0
ME,10,9.0,1,1,24.0,5.0,3,520.0,0,4.0,1,10.0,0,1,3.0
ME,10,4.0,2,6,59.0,7.0,5,710.0,1,1.0,2,5.0,0,2,1.0
ME,10,6.0,1,1,34.0,4.0,2,323.0,0,2.0,2,8.0,0,2,3.0
ME,10,3.0,2,1,58.0,5.0,4,423.0,1,6.0,3,8.0,0,2,1.0
ME,10,6.0,1,1,48.0,4.0,3,323.0,1,5.0,1,10.0,0,2,1.0
ME,10,1.0,1,6,63.0,4.0,4,323.0,0,1.0,2,9.0,0,2,6.0
ME,10,4.0,1,2,51.0,4.0,2,323.0,1,2.0,2,10.0,0,2,1.0
ME,10,4.0,1,2,65.0,4.0,2,323.0,0,3.0,2,5.0,0,2,6.0
ME,10,5.0,1,1,26.0,4.0,5,323.0,0,3.0,2,10.0,0,2,3.0
ME,10,3.0,1,2,32.0,3.0,2,321.0,0,3.0,2,5.0,0,2,4.0
ME,10,3.0,2,1,86.0,2.0,3,213.0,0,2.0,4,7.0,0,2,6.0
ME,10,3.0,2,1,30.0,3.0,1,321.0,1,4.0,2,10.0,0,2,1.0
ME,10,1.0,1,2,59.0,3.0,4,321.0,0,3.0,2,5.0,0,2,9.0
ME,10,7.0,2,1,19.0,4.0,4,313.0,0,3.0,2,7.0,0,2,2.0
ME,10,4.0,1,1,23.0,6.0,5,610.0,1,5.0,2,7.0,0,2,1.0
ME,10,1.0,1,6,75.0,1.0,4,0.0,0,1.0,5,2.0,0,2,9.0
ME,10,1.0,2,1,37.0,3.0,3,321.0,0,5.0,2,10.0,0,1,3.0
ME,10,5.0,1,1,,4.0,4,323.0,0,6.0,1,6.0,0,2,3.0
ME,10,3.0,2,1,66.0,3.0,2,321.0,0,2.0,3,8.0,0,2,4.0
ME,10,8.0,1,1,,7.0,3,710.0,1,2.0,2,8.0,0,2,1.0
ME,10,2.0,2,1,22.0,4.0,4,313.0,0,3.0,1,9.0,0,2,3.0
ME,10,9.0,2,1,24.0,7.0,3,710.0,1,4.0,2,9.0,0,2,1.0
ME,10,10.0,2,1,59.0,4.0,2,323.0,1,2.0,3,10.0,0,2,1.0
ME,10,7.0,2,1,18.0,4.0,3,313.0,0,4.0,1,10.0,0,2,9.0
ME,10,4.0,2,1,29.0,4.0,2,323.0,1,5.0,1,10.0,0,2,1.0
ME,10,9.0,2,1,28.0,7.0,3,720.0,1,4.0,1,8.0,0,2,1.0
ME,10,7.0,2,1,35.0,4.0,3,323.0,1,2.0,3,9.0,0,2,1.0
ME,10,5.0,2,1,30.0,7.0,5,710.0,1,4.0,2,9.0,0,2,1.0
ME,10,1.0,1,2,45.0,2.0,4,213.0,0,5.0,3,8.0,0,2,5.0
ME,10,8.0,2,1,31.0,7.0,3,710.0,1,4.0,1,10.0,0,2,1.0
ME,10,3.0,2,1,51.0,3.0,3,321.0,1,2.0,3,8.0,0,2,1.0
ME,10,3.0,1,2,66.0,2.0,2,213.0,0,2.0,1,10.0,0,2,6.0
ME,10,7.0,2,1,54.0,5.0,3,520.0,1,3.0,1,6.0,0,2,1.0
ME,10,5.0,1,2,60.0,3.0,3,321.0,0,5.0,2,10.0,0,2,4.0
ME,10,2.0,1,1,47.0,3.0,4,321.0,0,4.0,2,3.0,0,2,4.0
ME,10,6.0,2,1,39.0,4.0,3,323.0,1,4.0,2,9.0,0,2,1.0
ME,10,1.0,1,2,73.0,3.0,4,321.0,0,2.0,4,8.0,0,2,6.0
ME,10,4.0,1,2,56.0,4.0,4,323.0,1,2.0,1,10.0,0,2,1.0
ME,10,5.0,1,1,54.0,3.0,4,321.0,1,3.0,3,9.0,0,2,1.0
ME,10,3.0,1,6,58.0,3.0,4,321.0,0,1.0,2,4.0,0,2,4.0
ME,10,7.0,2,1,22.0,6.0,2,610.0,0,4.0,3,8.0,0,2,4.0
ME,10,4.0,1,2,49.0,4.0,3,313.0,1,2.0,2,5.0,0,1,1.0
ME,10,7.0,2,1,52.0,4.0,3,323.0,0,5.0,3,10.0,0,2,8.0
ME,10,8.0,1,2,75.0,7.0,1,710.0,0,2.0,2,9.0,0,2,6.0
ME,10,2.0,2,6,86.0,1.0,4,113.0,0,1.0,4,5.0,0,1,6.0
ME,10,4.0,1,2,59.0,3.0,2,321.0,0,3.0,2,8.0,0,2,6.0
ME,10,8.0,2,1,27.0,6.0,3,620.0,1,4.0,1,8.0,0,2,1.0
ME,10,4.0,1,1,21.0,4.0,2,323.0,0,2.0,2,7.0,0,2,3.0
ME,10,3.0,1,2,53.0,2.0,4,229.0,0,2.0,3,2.0,0,2,4.0
ME,10,2.0,1,6,81.0,2.0,4,229.0,0,1.0,3,7.0,0,2,6.0
ME,10,3.0,2,1,36.0,7.0,3,710.0,1,6.0,2,8.0,0,1,1.0
ME,10,5.0,1,1,17.0,55.0,3,5555.0,0,4.0,2,10.0,0,2,2.0
ME,10,2.0,2,1,24.0,4.0,3,323.0,0,2.0,2,7.0,0,2,3.0
ME,10,10.0,1,6,68.0,7.0,2,800.0,1,1.0,2,10.0,0,2,1.0
ME,10,7.0,2,1,55.0,3.0,3,321.0,1,3.0,1,10.0,0,2,1.0
ME,10,7.0,2,1,29.0,7.0,2,720.0,1,3.0,1,8.0,0,2,1.0
ME,10,3.0,1,1,79.0,1.0,4,113.0,0,2.0,3,4.0,0,2,6.0
ME,10,8.0,2,1,27.0,4.0,4,323.0,1,4.0,1,10.0,0,2,9.0
ME,10,7.0,2,1,24.0,4.0,1,323.0,1,2.0,1,10.0,0,2,1.0
ME,10,7.0,1,1,22.0,4.0,2,323.0,0,4.0,4,,0,2,
ME,10,6.0,1,2,61.0,4.0,4,313.0,0,7.0,1,10.0,0,2,9.0
ME,10,3.0,1,2,33.0,,7,,0,7.0,4,4.0,0,8,6.0
ME,10,8.0,1,2,39.0,4.0,3,323.0,1,6.0,1,10.0,0,2,1.0
ME,10,3.0,2,1,29.0,4.0,3,313.0,1,6.0,1,7.0,0,2,1.0
ME,10,7.0,1,2,41.0,4.0,3,323.0,1,3.0,3,10.0,0,2,1.0
ME,10,2.0,1,6,71.0,2.0,3,213.0,0,1.0,2,4.0,0,7,6.0
ME,10,4.0,2,1,52.0,4.0,2,323.0,0,4.0,2,7.0,0,2,4.0
ME,10,3.0,1,1,49.0,4.0,2,323.0,0,2.0,1,10.0,0,2,3.0
ME,10,3.0,1,1,55.0,4.0,4,323.0,1,2.0,2,7.0,0,2,1.0
ME,10,6.0,2,2,24.0,7.0,3,710.0,0,3.0,1,8.0,0,1,9.0
ME,10,3.0,2,2,27.0,4.0,2,323.0,0,3.0,2,8.0,0,2,3.0
ME,10,2.0,2,6,66.0,4.0,2,323.0,0,1.0,3,5.0,0,2,6.0
ME,10,6.0,1,6,59.0,4.0,4,323.0,1,1.0,2,7.0,0,2,1.0
ME,10,2.0,1,6,85.0,5.0,1,520.0,0,1.0,2,8.0,0,2,6.0
ME,10,6.0,1,2,68.0,7.0,4,710.0,0,4.0,1,10.0,0,2,6.0
ME,10,4.0,1,2,19.0,3.0,4,321.0,0,4.0,2,7.0,0,2,3.0
ME,10,8.0,2,1,59.0,3.0,2,321.0,0,4.0,4,10.0,0,2,6.0
ME,10,3.0,2,1,32.0,2.0,4,213.0,0,6.0,1,10.0,0,2,3.0
ME,10,6.0,2,1,55.0,4.0,2,323.0,0,2.0,2,8.0,0,2,4.0
ME,10,2.0,2,1,32.0,4.0,4,323.0,0,3.0,1,10.0,0,2,8.0
ME,10,8.0,2,1,30.0,4.0,3,323.0,1,4.0,1,9.0,0,2,1.0
ME,10,7.0,1,2,69.0,3.0,4,321.0,0,3.0,3,8.0,0,2,6.0
ME,10,8.0,1,1,38.0,7.0,4,710.0,1,3.0,1,8.0,0,2,1.0
ME,10,6.0,1,1,23.0,4.0,2,323.0,0,3.0,2,8.0,0,2,9.0
ME,10,2.0,2,6,63.0,2.0,2,229.0,0,1.0,2,8.0,0,2,6.0
ME,10,4.0,1,1,66.0,2.0,4,213.0,0,2.0,3,10.0,0,2,9.0
ME,10,8.0,1,1,32.0,7.0,4,710.0,1,2.0,1,10.0,0,2,1.0
ME,10,3.0,2,1,59.0,3.0,2,321.0,0,3.0,3,4.0,0,2,4.0
ME,10,3.0,2,1,64.0,2.0,2,229.0,0,2.0,3,6.0,0,2,6.0
ME,10,3.0,1,1,45.0,4.0,4,323.0,0,3.0,1,8.0,0,2,3.0
ME,10,7.0,1,2,49.0,7.0,4,710.0,1,3.0,2,10.0,0,2,1.0
ME,10,2.0,1,2,30.0,4.0,3,323.0,1,2.0,2,8.0,0,2,1.0
ME,10,2.0,2,6,67.0,2.0,4,229.0,0,1.0,3,7.0,0,2,6.0
ME,10,2.0,2,6,62.0,2.0,5,213.0,0,1.0,3,5.0,0,1,5.0
ME,10,7.0,1,2,48.0,4.0,4,323.0,0,5.0,1,10.0,0,2,4.0
ME,10,8.0,1,2,16.0,2.0,2,213.0,0,5.0,2,8.0,1,1,9.0
ME,10,3.0,1,2,67.0,3.0,2,321.0,0,2.0,4,8.0,0,2,6.0
ME,10,4.0,2,1,70.0,2.0,2,229.0,0,4.0,3,8.0,0,2,6.0
ME,10,7.0,2,2,29.0,7.0,3,720.0,1,5.0,1,7.0,0,1,1.0
ME,10,6.0,2,1,45.0,4.0,5,323.0,1,4.0,2,8.0,0,2,1.0
ME,10,3.0,2,1,83.0,2.0,2,213.0,0,2.0,3,8.0,0,2,4.0
ME,10,2.0,2,2,33.0,5.0,3,510.0,0,4.0,1,8.0,0,2,3.0
ME,10,3.0,1,2,61.0,3.0,4,321.0,0,5.0,2,8.0,0,2,6.0
ME,10,3.0,1,2,72.0,5.0,2,422.0,0,2.0,3,8.0,0,2,6.0
ME,10,4.0,1,2,68.0,3.0,3,321.0,0,5.0,2,7.0,0,2,6.0
ME,10,5.0,1,2,63.0,5.0,3,520.0,0,2.0,1,10.0,0,1,6.0
ME,10,4.0,2,1,57.0,4.0,4,323.0,0,3.0,2,9.0,0,2,3.0
ME,10,6.0,2,1,63.0,5.0,2,520.0,0,2.0,2,8.0,0,2,6.0
ME,10,8.0,1,1,26.0,7.0,1,720.0,0,3.0,2,8.0,0,2,3.0
ME,10,8.0,2,1,27.0,7.0,3,710.0,1,5.0,1,10.0,0,2,1.0
ME,10,3.0,2,1,42.0,4.0,2,323.0,0,3.0,2,6.0,0,2,3.0
ME,10,7.0,2,1,22.0,4.0,2,313.0,0,4.0,1,10.0,0,2,4.0
ME,10,3.0,2,1,59.0,3.0,3,321.0,0,2.0,2,7.0,0,2,4.0
ME,10,4.0,1,6,30.0,4.0,3,323.0,1,1.0,3,5.0,0,2,1.0
ME,10,6.0,2,1,38.0,4.0,8,323.0,1,4.0,3,4.0,0,7,1.0
ME,10,4.0,2,1,37.0,7.0,2,710.0,0,3.0,2,5.0,0,2,8.0
ME,10,7.0,2,1,53.0,4.0,2,323.0,0,4.0,1,8.0,0,2,8.0
ME,10,9.0,2,1,43.0,4.0,4,323.0,1,6.0,2,8.0,0,1,1.0
ME,10,6.0,2,1,69.0,55.0,3,5555.0,0,4.0,3,10.0,0,2,9.0
ME,10,1.0,1,2,80.0,2.0,4,213.0,0,2.0,4,10.0,0,2,6.0
ME,10,1.0,2,1,61.0,2.0,4,213.0,0,3.0,4,10.0,0,2,8.0
ME,10,8.0,2,1,24.0,5.0,3,510.0,0,4.0,1,10.0,0,1,3.0
ME,10,2.0,1,2,63.0,1.0,2,0.0,0,3.0,2,4.0,0,2,4.0
ME,10,2.0,2,1,63.0,5.0,3,520.0,0,2.0,3,7.0,0,2,6.0
ME,10,8.0,1,1,50.0,4.0,4,323.0,1,5.0,1,9.0,0,2,1.0
ME,10,7.0,2,1,33.0,4.0,5,323.0,1,5.0,2,10.0,0,2,1.0
ME,10,3.0,2,1,63.0,2.0,2,229.0,0,2.0,2,8.0,0,2,4.0
ME,10,9.0,2,1,36.0,4.0,4,323.0,1,4.0,1,9.0,0,2,1.0
ME,10,4.0,1,2,68.0,4.0,3,323.0,0,4.0,2,7.0,0,2,6.0
ME,10,7.0,2,2,23.0,4.0,1,313.0,0,4.0,2,7.0,0,1,3.0
ME,10,5.0,1,1,18.0,4.0,4,323.0,0,5.0,1,10.0,0,2,3.0
ME,10,6.0,2,1,,1.0,4,113.0,0,2.0,2,7.0,0,2,6.0
ME,10,7.0,1,2,51.0,7.0,1,710.0,1,5.0,3,5.0,0,2,1.0
ME,10,3.0,2,6,,7.0,1,710.0,0,1.0,4,7.0,0,2,9.0
ME,10,4.0,1,2,72.0,4.0,2,323.0,0,2.0,5,8.0,0,2,6.0
ME,10,8.0,1,2,63.0,4.0,4,323.0,1,2.0,2,10.0,0,2,1.0
ME,10,2.0,2,2,28.0,4.0,3,313.0,0,2.0,1,7.0,0,2,3.0
ME,10,7.0,2,1,52.0,4.0,3,313.0,1,4.0,1,10.0,0,2,1.0
ME,10,5.0,1,2,56.0,4.0,3,323.0,0,5.0,2,7.0,0,2,4.0
ME,10,2.0,1,2,63.0,4.0,4,323.0,0,2.0,2,8.0,0,2,4.0
ME,10,2.0,1,6,71.0,3.0,4,321.0,0,1.0,4,9.0,0,2,6.0
ME,10,1.0,2,6,69.0,3.0,4,321.0,0,1.0,3,9.0,0,2,6.0
ME,10,5.0,2,1,79.0,2.0,1,213.0,0,2.0,3,10.0,0,2,6.0
ME,10,4.0,2,1,48.0,4.0,2,323.0,0,4.0,2,6.0,0,2,4.0
ME,10,3.0,1,2,28.0,4.0,2,323.0,1,2.0,2,10.0,0,2,1.0
ME,10,10.0,1,2,41.0,4.0,2,323.0,1,4.0,1,10.0,0,2,1.0
ME,10,6.0,1,2,48.0,4.0,4,323.0,1,6.0,1,6.0,0,2,1.0
ME,10,3.0,2,1,41.0,4.0,4,323.0,0,4.0,2,8.0,0,2,3.0
ME,10,5.0,2,1,21.0,4.0,4,313.0,0,6.0,2,5.0,0,2,3.0
ME,10,7.0,1,2,62.0,4.0,2,323.0,1,3.0,2,7.0,0,2,1.0
ME,10,6.0,2,1,57.0,5.0,2,520.0,1,2.0,2,10.0,0,2,1.0
ME,10,4.0,1,6,39.0,5.0,4,520.0,1,1.0,2,10.0,0,2,1.0
ME,10,6.0,1,2,39.0,3.0,4,321.0,1,3.0,1,7.0,0,2,1.0
ME,10,10.0,1,2,31.0,4.0,2,313.0,1,2.0,1,10.0,0,2,1.0
ME,10,8.0,2,1,19.0,4.0,4,323.0,0,4.0,3,4.0,0,2,2.0
ME,10,6.0,1,1,23.0,4.0,4,313.0,0,5.0,2,6.0,0,2,4.0
ME,10,2.0,2,6,86.0,2.0,3,213.0,0,1.0,3,10.0,0,2,6.0
ME,10,5.0,1,1,21.0,4.0,2,323.0,0,3.0,1,10.0,0,2,9.0
ME,10,3.0,1,2,69.0,3.0,4,321.0,0,3.0,3,8.0,0,2,6.0
ME,10,2.0,1,2,30.0,7.0,2,710.0,0,2.0,2,9.0,0,2,3.0
ME,10,8.0,2,2,49.0,4.0,1,323.0,1,5.0,1,10.0,0,2,1.0
ME,10,6.0,2,1,38.0,4.0,2,323.0,1,4.0,1,8.0,0,2,1.0
ME,10,6.0,1,1,28.0,4.0,3,323.0,1,3.0,1,9.0,0,2,1.0
ME,10,1.0,2,2,20.0,3.0,4,321.0,0,3.0,1,,0,2,3.0
ME,10,6.0,1,2,44.0,4.0,3,323.0,1,4.0,2,8.0,0,2,1.0
ME,10,4.0,2,6,84.0,3.0,3,321.0,0,1.0,2,6.0,0,2,6.0
ME,10,9.0,2,1,48.0,4.0,2,323.0,1,4.0,1,10.0,0,2,1.0
ME,10,9.0,1,6,40.0,7.0,2,720.0,1,1.0,1,6.0,0,2,1.0
ME,10,4.0,2,2,63.0,2.0,2,229.0,0,2.0,3,7.0,0,2,6.0
ME,10,4.0,1,2,62.0,3.0,2,321.0,0,2.0,2,7.0,0,2,6.0
ME,10,1.0,1,2,19.0,3.0,3,321.0,0,5.0,2,3.0,0,2,3.0
ME,10,7.0,2,1,41.0,4.0,2,323.0,1,5.0,3,10.0,0,2,1.0
ME,10,6.0,1,2,50.0,4.0,2,323.0,1,4.0,2,5.0,0,2,1.0
ME,10,3.0,1,2,52.0,3.0,3,321.0,1,4.0,2,8.0,0,2,1.0
ME,10,6.0,2,2,47.0,4.0,2,323.0,1,5.0,3,6.0,0,2,1.0
ME,10,3.0,2,1,62.0,4.0,3,323.0,0,2.0,3,5.0,0,1,6.0
ME,10,4.0,2,1,20.0,4.0,4,313.0,0,9.0,1,10.0,0,2,3.0
ME,10,3.0,2,1,65.0,3.0,2,321.0,0,2.0,2,7.0,0,2,6.0
ME,10,5.0,1,2,56.0,4.0,2,323.0,1,4.0,1,5.0,0,2,1.0
ME,10,10.0,2,1,54.0,4.0,1,323.0,1,4.0,3,10.0,0,2,1.0
ME,10,4.0,2,2,32.0,6.0,4,620.0,0,3.0,1,9.0,0,1,3.0
ME,10,6.0,1,2,65.0,3.0,2,321.0,0,3.0,2,7.0,0,2,6.0
ME,10,1.0,2,1,34.0,4.0,3,323.0,1,2.0,2,8.0,0,1,8.0
ME,10,4.0,1,2,68.0,3.0,4,321.0,0,2.0,2,6.0,0,2,6.0
ME,10,4.0,1,2,75.0,5.0,3,520.0,0,4.0,3,8.0,0,2,6.0
ME,10,8.0,1,2,73.0,2.0,3,213.0,0,6.0,3,10.0,0,2,6.0
ME,10,5.0,1,6,58.0,6.0,3,610.0,1,1.0,3,7.0,0,7,1.0
ME,10,5.0,1,1,55.0,3.0,4,321.0,0,5.0,1,10.0,0,2,3.0
ME,10,4.0,2,1,59.0,3.0,3,321.0,0,3.0,2,8.0,0,2,4.0
ME,10,5.0,1,1,31.0,4.0,4,323.0,0,4.0,2,8.0,0,2,3.0
ME,10,5.0,1,1,24.0,3.0,4,321.0,0,6.0,1,4.0,0,2,4.0
ME,10,1.0,2,6,67.0,3.0,2,321.0,0,1.0,2,8.0,0,7,6.0
ME,10,3.0,2,1,43.0,3.0,2,321.0,0,5.0,2,7.0,0,2,4.0
ME,10,1.0,1,6,83.0,1.0,4,113.0,0,1.0,2,10.0,0,2,6.0
ME,10,4.0,2,1,18.0,2.0,5,213.0,0,3.0,1,10.0,0,2,4.0
ME,10,3.0,1,2,59.0,3.0,4,321.0,1,3.0,3,9.0,0,2,1.0
ME,10,4.0,2,2,30.0,4.0,2,313.0,1,2.0,1,6.0,0,2,1.0
ME,10,6.0,1,2,46.0,4.0,4,313.0,0,5.0,1,5.0,0,2,3.0
ME,10,4.0,2,6,70.0,3.0,3,321.0,0,1.0,2,10.0,0,2,6.0
ME,10,9.0,2,6,67.0,7.0,1,720.0,1,1.0,2,8.0,0,1,1.0
ME,10,4.0,1,2,44.0,2.0,3,213.0,1,6.0,1,6.0,0,2,1.0
ME,10,6.0,1,2,33.0,4.0,2,313.0,1,4.0,2,9.0,0,2,1.0
ME,10,1.0,2,1,59.0,3.0,4,321.0,0,2.0,4,7.0,0,2,9.0
ME,10,1.0,2,2,39.0,4.0,3,323.0,0,4.0,1,10.0,0,2,4.0
ME,10,9.0,2,1,35.0,7.0,4,710.0,1,4.0,2,10.0,0,2,1.0
ME,10,3.0,2,1,70.0,3.0,2,321.0,0,2.0,2,5.0,0,2,4.0
ME,10,1.0,1,2,79.0,4.0,4,323.0,0,2.0,4,10.0,0,2,6.0
ME,10,1.0,1,2,60.0,3.0,4,321.0,0,4.0,4,9.0,0,2,6.0
ME,10,2.0,1,2,26.0,4.0,4,313.0,0,2.0,1,8.0,0,2,3.0
ME,10,1.0,2,1,49.0,4.0,3,313.0,0,5.0,1,9.0,0,2,3.0
ME,10,1.0,1,2,60.0,4.0,4,323.0,0,3.0,4,5.0,0,1,9.0
ME,10,5.0,2,1,54.0,4.0,5,313.0,1,3.0,1,8.0,0,2,8.0
ME,10,2.0,2,6,76.0,4.0,2,323.0,0,1.0,3,7.0,0,2,6.0
ME,10,5.0,1,2,53.0,3.0,3,321.0,1,3.0,2,4.0,0,2,1.0
ME,10,3.0,1,2,69.0,3.0,2,321.0,0,2.0,3,8.0,0,2,6.0
ME,10,8.0,2,1,19.0,4.0,4,313.0,0,6.0,1,10.0,0,2,2.0
ME,10,8.0,1,1,23.0,4.0,3,323.0,0,5.0,5,4.0,0,8,
ME,10,9.0,1,1,23.0,4.0,3,323.0,0,4.0,1,8.0,0,2,7.0
ME,10,6.0,2,2,19.0,3.0,3,321.0,1,2.0,1,6.0,0,2,1.0
ME,10,1.0,1,6,50.0,5.0,2,520.0,0,1.0,3,7.0,0,2,9.0
ME,10,7.0,2,1,30.0,4.0,4,323.0,1,5.0,2,10.0,0,2,1.0
ME,10,1.0,1,6,65.0,3.0,4,321.0,0,1.0,3,7.0,0,2,6.0
ME,10,3.0,1,2,35.0,3.0,3,321.0,0,2.0,2,7.0,0,2,4.0
ME,10,4.0,2,1,62.0,2.0,2,213.0,0,2.0,2,8.0,0,2,4.0
ME,10,4.0,1,2,51.0,5.0,3,422.0,1,2.0,2,5.0,0,2,1.0
ME,10,6.0,2,6,32.0,7.0,1,710.0,1,1.0,2,10.0,0,2,4.0
ME,10,2.0,1,2,78.0,4.0,2,323.0,0,2.0,3,5.0,0,2,6.0
ME,10,7.0,2,2,40.0,7.0,3,710.0,1,6.0,1,7.0,0,2,1.0
ME,10,3.0,1,2,52.0,2.0,4,213.0,1,5.0,1,3.0,0,2,1.0
